sha256,method_count,filtered_method_count,category,package_name,is_third_party
EABDFB7CB9E85A6305BF892ED0779589A27490F7F95A27D7EA0E5055F29C2FEB,18213,12064,Riskware,sogou.mobile.explorer,FALSE
9C64DDC5E111307174ECF3E53219AC23755B8FFACA759D4936C95108F4D6A761,18807,10888,PUA,com.cqhy.jxwdfc3d.mi,FALSE
D7C443FF71D1A3814DD33CB2704274A7B83667ACE827C15D3F364800571E7F88,20658,13410,Riskware,com.tianyuyou.h5.tyy_67151,FALSE
AF0453E857603895C7AFFEE3754C7BB7D7D1D1B254FCF1E4125D22CF62C71B82,12753,8081,Backdoor,qr.barcode.reader.scanner.tool,FALSE
BE35B81CA1BE7F56686595F48364EAB3683E594EE7A9F0BCC0B45000233FDEB7,17471,10474,Riskware,com.zq.lsghlb.niudao,FALSE
C0A491E685AA273C188163B05CCBA58690584AB1A3A64F9F45A8BF9742182A04,21887,12264,Riskware,com.yingxiao.mssg.xmw,FALSE
7C4A6A05832BA779495F701AD3456E6237F7A7F43B22E84C534CCEA89D3C4497,14867,8501,PUA,com.netease.ycyzj.mi,FALSE
D5428DF3DCACAE965B40CCF44C694B42B37A6263323814747BAB7683371555C2,51905,35035,Backdoor,com.aplus.camera.android,FALSE
B9F74637782AD49680AF1D27396984B9163718B530AA42D6127FAE63F3F12FD7,55852,35264,PUA,io.dcloud.H57AD1EA1,FALSE
3720E08AA44D54EEAA1975AE877523F7BBF0CC31BA330C73CBF981B0564907E4,52019,33914,Adware,com.moxiu.launcher,FALSE
459A58150F21317077503CE13DC1C6798333630D3AD5989BAD3C6C4BDEEC2E2F,52060,34464,Adware,com.moxiu.launcher,FALSE
2EAB42F651D8374E0AC9C3EBA0DF17CC616BC40697E01B6D2251F19B83788B04,14726,9655,Scareware,cw.pub.bundelid933152,FALSE
8AC5DA389900CD7AC3A58A68CF2E9C40A399E220EBC40C578ECBBE1CCA954F01,927,766,Adware,com.yn.club,FALSE
E6DEBB759EA60B341CA6F591506152EE469C699C9148B1582E03DB007C627CDE,42981,28720,Adware,com.hoge.android.app.wuxibobao,FALSE
06AA8AA575CD7AE972189E95FFD8152C2A38862FA4E56911535B5741FAF1C528,24243,16012,Riskware,com.qihoo.contents,FALSE
53A7ED6AB47CE8CA460A7360FB40C4D50672BD5B2D5639CBC2BD86BD91A76A9B,52401,34303,Adware,com.wxb.weixiaobao,FALSE
31CFDE0E857352DB144C98F117277C9CDA018B60C8464E07E12B3AB52AED3473,52530,34612,Trojan,com.kaihei.wufan.mars,FALSE
7A190C4978E716B1BBCFDDFC6CFEFC87230B979A42EA79949296BDC25722FE2A,6465,4187,Riskware,com.silverbat.knightage,FALSE
D0CCA468EE43EE6A5128847149F6AD281A796AEAB0D2E75933A486BCB1ACC503,31127,18922,Trojan,com.ea.simcitymobile.yyh,FALSE
4A660D058733BA43F6FF40F98F9711E1F42FFF578FDD3BE288E5D03EDDD50CE1,52629,32933,Backdoor,com.stilt.walker.control.obstacle.run,FALSE
92692E11F9584C557639033673B2F65A9F73F7677F80C688A3CE37B55F99169E,46684,31216,Backdoor,com.pop.game.peter.shoot.ltc,FALSE
6464286338BE0F963DE9046A5F6D9FB82376EE3491EE52036D20F8047853EB14,55315,30951,Riskware,com.bantu.zqsgwy.google,FALSE
85973DC015EDD2E78D354F40EC3D1F9FC52102138B1F05C86B93DFDE8839D851,44346,29138,Backdoor,com.desert.against.ygygy.game,FALSE
F6F7C37D3C8B26174F17EB2D86034819AC68F4D04901A228CDE62FFA9011B3EF,21122,13155,Riskware,com.hemei.xwfyz.manba.tyy,FALSE
7E57A8DA68D48B711437814153390DE06E8757CA5FDCD41F1ECCAE5A07390DCD,25147,10455,Riskware,com.gameme5.FTHDHD,FALSE
5F63A5A9B3B5C9DCB7102CE0D8930510F1A21067C7034E13E6D09A001052024B,16136,10378,Riskware,sogou.mobile.explorer.speed,FALSE
D0A23A00D5CB0C02BDDED1EB67CFA5B31D5A0335D328A042E6E918CE5BD3FD14,54789,34533,PUA,com.huizhouyiren.a1004,FALSE
3F57ED9EFC564681D801E3266D1E428ED2038FBA725DDDDF106E4EEEF378E785,45103,28739,PUA,plus.H5A84F959,FALSE
1A6E08ADA04650508A6029556635DF70730A884201EA8D9E016334A474B9D86C,53229,36683,PUA,com.baidu.video.pad,FALSE
34E9583396F1E5C125DF5C7AA9C46527E3538FADF5C649823B4F199D3A5F0BFF,44434,28068,PUA,com.services123,FALSE
7534E2BD0C1277FBAAFD9652FFB4AAC96F1D67F397CD35D8E8784D5E3B8D6B31,45239,28838,PUA,plus.H5A84F959,FALSE
1F3B31D38C2ECB3FE9069D78D6BAB73C01D7FD11900862F90049AD13DD5FFFEC,21038,14353,Adware,com.wTahooBakso_31,FALSE
4A985C4FF72442A988C20596FD01B5995AEC95938D8606AADFCD6AC9C35F8A7B,15427,9089,Riskware,com.xd.sgzm.aligames,FALSE
B99AE8A1E22CD123E6001EF7422A7868034E83181D43C4438B675BC02E8535E5,5615,3642,Adware,com.recipe.rhenish,FALSE
0A40FF516DB1D275723B069971EAEDC6AA2AD27E640DC8B8BF981B952C30FD47,54044,34695,Riskware,com.yxxinglin.xzid1273,FALSE
921D0511BF0E339393E829855A25736F9C371D5265C79C62E3F744A99AB3CE56,54774,36976,Riskware,com.woyaotiaohe.jie.bd,FALSE
69FDF3A1F0586B335DB7FBBBA03F92B0A204256773D3C843DDE058CB0A179018,34242,23364,Scareware,com.dcloud.LTQMHFZQO,FALSE
D0748109A860E2E6446E9BDEBCDF6404CA6DD1A444C31ADD6E44050BA31184DE,6991,4987,Riskware,Team.kpah,FALSE
F35578E41E5104C4348A34A0E8CF2CD46670A523C3388C7B1F654AAA5DBE736B,34166,23300,Scareware,com.icloud.BHHXPHBRU,FALSE
E66F70F302ABB366D4A5B299B6B555EE44A119A3FE6F9689DBE478874AEE0D63,44322,28099,Riskware,com.seeksth.ssd,FALSE
BCAE866A08DDF420E1485ADCC0D5415C4A98180581E8CD8518209701F0741643,14513,8609,Riskware,com.suibianwan.hrjh,FALSE
ED393619F7B3D4B62A9B560279986017BBFDA8D8047C12DEAB7C9177F9BB1DA3,38626,25361,Riskware,com.leningmeng.phzlm.nearme.gamecenter,FALSE
E1CE4CE53F4BAEE270A0A9A9C61C389C5F1FDC618521C97853F5F10D32C1268E,24371,15397,Riskware,com.shmpgzb.game,FALSE
8464B5F47F212A03525EDBE220A358EEEF9E10523B93D7368B02F22B37B79274,19260,11327,Riskware,com.wdcq.bt.qipa,FALSE
9B7F2358F3DA715B8C7A37B14ECC15D96E087A1F740054E5E1A8C93AA4A59C61,24171,15257,Riskware,com.bdhl.hh,FALSE
AEBA118636615BC3A036A3161AF7F16033A6EB7B321AA67BEF94BEADF3258AAF,24225,15300,Riskware,com.wldzz.game,FALSE
AD2CA80B00390BEB4C847E2002EAE652DCD3EECDE934ED14D95ED01729373957,24296,15350,Riskware,com.game.yjfx.jytgame,FALSE
C529E48C8F24B3C04547D4D54D875CCF662EB7C6DAC1F9C735763F229FEC9A00,39609,29099,PUA,com.qihoo.appstore,FALSE
3A2514563D6E92E4D8CA4F4AF499DD449F1ADD77DD6A0CE13B74062B2DBEE5F1,132,51,Riskware,com.mrkj.taoshu,FALSE
BC7B35738B6315020B414388C8AE497E4AA2D44896687EB0E8753AE5B87AD550,38867,28559,PUA,com.qihoo.appstore,FALSE
057809E3B42B8B7A4F437A8CDBED5F7B78DA66127794F8A9BF4F686693544BE3,17526,12682,Trojan,able.version.fever,FALSE
9BA9AD408A114192254671B24B01AF7980F879F3962232389CCC835ACB87582A,27811,18313,Trojan,com.uncover.army,FALSE
A69605CF0369CFE883E004403352A48A55B73B4BDA1E7783212E259AC7371D56,24203,15303,Riskware,com.twfxxdb.fuligo,FALSE
3A66920DAC03FF7F7AE3A6C7A8DB9ECFF08AF68D66A040ABF776D5060D577BE2,37024,24889,Adware,com.m4399.gamecenter,FALSE
442D3FB99A211111DDC64ED58AF40F9A2ACAFB57EC80E36723AC8457F3859E24,28600,18818,Trojan,com.health.other,FALSE
90B4EA5B5B05D0651610E4F07BA3809BFA43A4BEE2CD96C5880A63E68FE75840,33169,21393,Trojan,com.firm.violin,FALSE
D1DDFD14F87FCE144E16E3D2F3ED7F72A92D840A6B0DC77620F704DB6167AFD5,27516,17790,Trojan,spot.mistake.apart,FALSE
5ABAA68C979F7FA1933CF02B421D99E8109494C6038FD4EB3C9F4F338EDFD7AF,28126,18364,Trojan,com.add.desk,FALSE
6114D2F202B3EE3A524BADD420BA3ACEAC95ECC41DE56538A3BE9BFDC579C5DC,26518,19349,Trojan,round.script.defy,FALSE
EDDA95F68C0CDF9F4C13E4E35211B42666C014F2C0831210B59296071139F159,29571,19535,Trojan,com.home.nurse,FALSE
B3939D0E5857A2F382236B572FDF732A41DE13E24650DE43B5B826FB97A361F6,28990,16815,Riskware,ch.nth.android.contentabo_l01_sim_univ,FALSE
F8D3648FD1FEE0B6C470574509EE013815CBD919CD1788BF2BC7C1147C08BC45,19332,11242,Riskware,com.zk.xiaogua.txd.jy038c,FALSE
782BD210A89825DE20E211EE49066D5C1595CB1346658873FEAB600E032F0D92,54325,36209,Backdoor,com.wGuitarProTabs,FALSE
